prop_id,player_name,p_true_over,dk_over_odds,dk_under_odds,is_promo_eligible,dk_decimal_odds,dk_implied_prob,edge,ev_pct,kelly_wager_pct
PROP_0027,Player_27,0.5472,-137,117,False,1.72992700729927,0.5781,-0.0309,-0.0534,0.0
PROP_0028,Player_28,0.5009,-108,-108,False,1.925925925925926,0.5192,-0.0183,-0.0353,0.0
PROP_0029,Player_29,0.5015,-136,116,True,1.7352941176470589,0.5763,-0.0748,-0.1298,0.0
PROP_0030,Player_30,0.5202,-115,-102,True,1.8695652173913042,0.5349,-0.0147,-0.0275,0.0
PROP_0031,Player_31,0.5657,-130,110,False,1.7692307692307692,0.5652,0.0005,0.0009,0.0006
PROP_0032,Player_32,0.4968,-121,103,False,1.8264462809917354,0.5475,-0.0507,-0.0926,0.0
PROP_0033,Player_33,0.5014,131,-155,False,2.31,0.4329,0.0685,0.1582,0.0604
PROP_0034,Player_34,0.5662,-144,122,False,1.6944444444444444,0.5902,-0.024,-0.0406,0.0
PROP_0035,Player_35,0.5657,-121,103,True,1.8264462809917354,0.5475,0.0182,0.0332,0.0201
PROP_0036,Player_36,0.5094,-118,101,False,1.847457627118644,0.5413,-0.0319,-0.0589,0.0
PROP_0037,Player_37,0.534,-146,124,True,1.6849315068493151,0.5935,-0.0595,-0.1002,0.0
PROP_0038,Player_38,0.5414,-111,-106,False,1.900900900900901,0.5261,0.0153,0.0291,0.0162
PROP_0039,Player_39,0.5753,-126,107,False,1.7936507936507935,0.5575,0.0178,0.0319,0.0201
PROP_0040,Player_40,0.5736,-145,123,False,1.6896551724137931,0.5918,-0.0182,-0.0308,0.0
PROP_0041,Player_41,0.5352,-111,-106,False,1.900900900900901,0.5261,0.0091,0.0174,0.0096
PROP_0042,Player_42,0.5474,-140,119,False,1.7142857142857144,0.5833,-0.0359,-0.0616,0.0
PROP_0043,Player_43,0.516,-135,115,False,1.7407407407407407,0.5745,-0.0585,-0.1018,0.0
PROP_0044,Player_44,0.5174,-120,102,False,1.8333333333333335,0.5455,-0.0281,-0.0514,0.0
PROP_0045,Player_45,0.5198,-115,-102,False,1.8695652173913042,0.5349,-0.0151,-0.0282,0.0
PROP_0046,Player_46,0.489,-101,-116,True,1.99009900990099,0.5025,-0.0135,-0.0268,0.0
PROP_0047,Player_47,0.5587,-142,121,False,1.704225352112676,0.5868,-0.0281,-0.0478,0.0
PROP_0048,Player_48,0.5627,-151,128,False,1.6622516556291391,0.6016,-0.0389,-0.0647,0.0
PROP_0049,Player_49,0.5304,-120,102,False,1.8333333333333335,0.5455,-0.0151,-0.0276,0.0
PROP_0050,Player_50,0.5722,-146,124,False,1.6849315068493151,0.5935,-0.0213,-0.0359,0.0
PROP_0051,Player_51,0.538,-134,114,False,1.7462686567164178,0.5726,-0.0346,-0.0605,0.0
PROP_0052,Player_52,0.5315,-127,108,False,1.7874015748031495,0.5595,-0.028,-0.05,0.0
PROP_0053,Player_53,0.5068,-115,-102,False,1.8695652173913042,0.5349,-0.0281,-0.0525,0.0
PROP_0054,Player_54,0.5565,-135,115,False,1.7407407407407407,0.5745,-0.018,-0.0313,0.0
PROP_0055,Player_55,0.483,-104,-113,False,1.9615384615384617,0.5098,-0.0268,-0.0526,0.0
PROP_0056,Player_56,0.5424,-110,-107,False,1.9090909090909092,0.5238,0.0186,0.0355,0.0195
PROP_0057,Player_57,0.5296,-132,112,True,1.7575757575757576,0.569,-0.0394,-0.0692,0.0
PROP_0058,Player_58,0.4859,-121,103,False,1.8264462809917354,0.5475,-0.0616,-0.1125,0.0
PROP_0059,Player_59,0.488,121,-142,False,2.21,0.4525,0.0355,0.0785,0.0324
PROP_0060,Player_60,0.4884,111,-131,False,2.1100000000000003,0.4739,0.0145,0.0305,0.0137
PROP_0061,Player_61,0.5267,-117,-100,False,1.8547008547008548,0.5392,-0.0125,-0.0231,0.0
PROP_0062,Player_62,0.5271,-110,-106,True,1.9090909090909092,0.5238,0.0033,0.0063,0.0035
PROP_0063,Player_63,0.576,-145,123,False,1.6896551724137931,0.5918,-0.0158,-0.0268,0.0
PROP_0064,Player_64,0.5712,-151,128,False,1.6622516556291391,0.6016,-0.0304,-0.0505,0.0
PROP_0065,Player_65,0.5386,-128,109,True,1.78125,0.5614,-0.0228,-0.0406,0.0
PROP_0066,Player_66,0.5087,-108,-109,False,1.925925925925926,0.5192,-0.0105,-0.0203,0.0
PROP_0067,Player_67,0.504,-115,-102,False,1.8695652173913042,0.5349,-0.0309,-0.0577,0.0
PROP_0068,Player_68,0.5112,-106,-111,False,1.9433962264150944,0.5146,-0.0034,-0.0065,0.0
PROP_0069,Player_69,0.5398,-114,-103,False,1.8771929824561404,0.5327,0.0071,0.0133,0.0076
PROP_0070,Player_70,0.4925,-103,-114,True,1.970873786407767,0.5074,-0.0149,-0.0293,0.0
PROP_0071,Player_71,0.4885,-119,102,True,1.8403361344537816,0.5434,-0.0549,-0.101,0.0
PROP_0072,Player_72,0.5727,-118,101,False,1.847457627118644,0.5413,0.0314,0.058,0.0342
PROP_0073,Player_73,0.5034,-114,-103,False,1.8771929824561404,0.5327,-0.0293,-0.055,0.0
PROP_0074,Player_74,0.5335,-159,135,False,1.6289308176100628,0.6139,-0.0804,-0.131,0.0
PROP_0075,Player_75,0.5544,-139,118,False,1.7194244604316546,0.5816,-0.0272,-0.0468,0.0
PROP_0076,Player_76,0.5703,-163,138,True,1.6134969325153374,0.6198,-0.0495,-0.0798,0.0
PROP_0077,Player_77,0.5789,-138,117,False,1.7246376811594204,0.5798,-0.0009,-0.0016,0.0
PROP_0078,Player_78,0.5406,-104,-113,False,1.9615384615384617,0.5098,0.0308,0.0604,0.0314
PROP_0079,Player_79,0.5468,-124,106,False,1.8064516129032258,0.5536,-0.0068,-0.0122,0.0
PROP_0080,Player_80,0.5517,-167,142,False,1.5988023952095807,0.6255,-0.0738,-0.1179,0.0
PROP_0081,Player_81,0.5206,102,-120,False,2.02,0.495,0.0256,0.0516,0.0253
PROP_0082,Player_82,0.5515,-161,136,False,1.62111801242236,0.6169,-0.0654,-0.106,0.0
PROP_0083,Player_83,0.5515,-131,112,False,1.7633587786259541,0.5671,-0.0156,-0.0275,0.0
PROP_0084,Player_84,0.5427,-142,121,False,1.704225352112676,0.5868,-0.0441,-0.0751,0.0
PROP_0085,Player_85,0.5543,-154,131,True,1.6493506493506493,0.6063,-0.052,-0.0858,0.0
PROP_0086,Player_86,0.5402,-117,100,True,1.8547008547008548,0.5392,0.001,0.0019,0.0011
PROP_0087,Player_87,0.5545,-139,118,False,1.7194244604316546,0.5816,-0.0271,-0.0466,0.0
PROP_0088,Player_88,0.5455,-137,116,False,1.72992700729927,0.5781,-0.0326,-0.0563,0.0
PROP_0089,Player_89,0.5516,-110,-107,False,1.9090909090909092,0.5238,0.0278,0.0531,0.0292
PROP_0090,Player_90,0.5629,-132,112,False,1.7575757575757576,0.569,-0.0061,-0.0107,0.0
PROP_0091,Player_91,0.5561,-124,106,False,1.8064516129032258,0.5536,0.0025,0.0046,0.0028
PROP_0092,Player_92,0.5101,-108,-109,True,1.925925925925926,0.5192,-0.0091,-0.0176,0.0
PROP_0093,Player_93,0.5161,109,-128,False,2.09,0.4785,0.0376,0.0786,0.0361
PROP_0094,Player_94,0.5001,-108,-109,False,1.925925925925926,0.5192,-0.0191,-0.0368,0.0
PROP_0095,Player_95,0.5622,-148,126,False,1.6756756756756757,0.5968,-0.0346,-0.0579,0.0
PROP_0096,Player_96,0.4818,104,-122,False,2.04,0.4902,-0.0084,-0.0171,0.0
PROP_0097,Player_97,0.5569,-127,108,True,1.7874015748031495,0.5595,-0.0026,-0.0046,0.0
PROP_0098,Player_98,0.4889,109,-128,False,2.09,0.4785,0.0104,0.0218,0.01
PROP_0099,Player_99,0.5206,115,-136,False,2.15,0.4651,0.0555,0.1193,0.0519
PROP_0100,Player_100,0.5381,-155,131,True,1.6451612903225805,0.6078,-0.0697,-0.1147,0.0
PROP_0101,Player_101,0.5748,-173,147,False,1.5780346820809248,0.6337,-0.0589,-0.0929,0.0
PROP_0102,Player_102,0.4832,104,-123,False,2.04,0.4902,-0.007,-0.0143,0.0
PROP_0103,Player_103,0.5297,-123,105,False,1.8130081300813008,0.5516,-0.0219,-0.0396,0.0
PROP_0104,Player_104,0.5659,-154,130,False,1.6493506493506493,0.6063,-0.0404,-0.0666,0.0
PROP_0105,Player_105,0.5742,-143,122,False,1.6993006993006992,0.5885,-0.0143,-0.0243,0.0
PROP_0106,Player_106,0.5457,-137,117,False,1.72992700729927,0.5781,-0.0324,-0.056,0.0
PROP_0107,Player_107,0.577,-127,108,False,1.7874015748031495,0.5595,0.0175,0.0313,0.0199
PROP_0108,Player_108,0.5483,-140,119,False,1.7142857142857144,0.5833,-0.035,-0.0601,0.0
PROP_0109,Player_109,0.5266,-118,101,False,1.847457627118644,0.5413,-0.0147,-0.0271,0.0
PROP_0110,Player_110,0.5582,-143,122,False,1.6993006993006992,0.5885,-0.0303,-0.0515,0.0
PROP_0111,Player_111,0.5751,-125,106,False,1.8,0.5556,0.0195,0.0352,0.022
PROP_0112,Player_112,0.5488,-136,116,False,1.7352941176470589,0.5763,-0.0275,-0.0477,0.0
PROP_0113,Player_113,0.5227,-107,-109,False,1.9345794392523366,0.5169,0.0058,0.0112,0.006
PROP_0114,Player_114,0.4996,120,-141,False,2.2,0.4545,0.0451,0.0991,0.0413
PROP_0115,Player_115,0.5699,-163,138,False,1.6134969325153374,0.6198,-0.0499,-0.0805,0.0
PROP_0116,Player_116,0.5354,-133,113,False,1.7518796992481203,0.5708,-0.0354,-0.062,0.0
PROP_0117,Player_117,0.5343,-132,112,True,1.7575757575757576,0.569,-0.0347,-0.0609,0.0
PROP_0118,Player_118,0.5019,-116,-101,False,1.8620689655172413,0.537,-0.0351,-0.0654,0.0
PROP_0119,Player_119,0.48,-105,-112,False,1.9523809523809523,0.5122,-0.0322,-0.0629,0.0
PROP_0120,Player_120,0.5579,-116,-101,False,1.8620689655172413,0.537,0.0209,0.0388,0.0225
PROP_0121,Player_121,0.5092,-116,-101,False,1.8620689655172413,0.537,-0.0278,-0.0518,0.0
PROP_0122,Player_122,0.5111,102,-120,False,2.02,0.495,0.0161,0.0324,0.0159
PROP_0123,Player_123,0.5209,-107,-110,False,1.9345794392523366,0.5169,0.004,0.0077,0.0041
PROP_0124,Player_124,0.493,112,-131,True,2.12,0.4717,0.0213,0.0452,0.0202
PROP_0125,Player_125,0.546,-107,-110,False,1.9345794392523366,0.5169,0.0291,0.0563,0.0301
PROP_0126,Player_126,0.4877,-103,-114,True,1.970873786407767,0.5074,-0.0197,-0.0388,0.0
PROP_0127,Player_127,0.5458,-143,122,True,1.6993006993006992,0.5885,-0.0427,-0.0725,0.0
PROP_0128,Player_128,0.5569,-137,117,True,1.72992700729927,0.5781,-0.0212,-0.0366,0.0
PROP_0129,Player_129,0.5068,-115,-102,False,1.8695652173913042,0.5349,-0.0281,-0.0525,0.0
PROP_0130,Player_130,0.5639,-179,151,False,1.558659217877095,0.6416,-0.0777,-0.1211,0.0
PROP_0131,Player_131,0.524,-163,138,False,1.6134969325153374,0.6198,-0.0958,-0.1545,0.0
PROP_0132,Player_132,0.5447,101,-119,False,2.01,0.4975,0.0472,0.0948,0.047
PROP_0133,Player_133,0.4955,-154,130,True,1.6493506493506493,0.6063,-0.1108,-0.1827,0.0
PROP_0134,Player_134,0.5728,-122,104,False,1.819672131147541,0.5495,0.0233,0.0423,0.0258
PROP_0135,Player_135,0.5245,-101,-116,False,1.99009900990099,0.5025,0.022,0.0438,0.0221
PROP_0136,Player_136,0.504,-103,-114,False,1.970873786407767,0.5074,-0.0034,-0.0067,0.0
PROP_0137,Player_137,0.4909,-136,116,False,1.7352941176470589,0.5763,-0.0854,-0.1481,0.0
PROP_0138,Player_138,0.4998,-122,104,False,1.819672131147541,0.5495,-0.0497,-0.0905,0.0
PROP_0139,Player_139,0.5375,-135,115,False,1.7407407407407407,0.5745,-0.037,-0.0644,0.0
PROP_0140,Player_140,0.4942,-114,-103,False,1.8771929824561404,0.5327,-0.0385,-0.0723,0.0
PROP_0141,Player_141,0.5727,-128,109,True,1.78125,0.5614,0.0113,0.0201,0.0129
PROP_0142,Player_142,0.5231,-137,117,False,1.72992700729927,0.5781,-0.055,-0.0951,0.0
PROP_0143,Player_143,0.5276,-124,105,False,1.8064516129032258,0.5536,-0.026,-0.0469,0.0
PROP_0144,Player_144,0.5778,-144,122,False,1.6944444444444444,0.5902,-0.0124,-0.021,0.0
PROP_0145,Player_145,0.5289,-117,-101,True,1.8547008547008548,0.5392,-0.0103,-0.019,0.0
PROP_0146,Player_146,0.5648,-149,126,False,1.6711409395973154,0.5984,-0.0336,-0.0561,0.0
PROP_0147,Player_147,0.5592,-171,144,False,1.5847953216374269,0.631,-0.0718,-0.1138,0.0
PROP_0148,Player_148,0.5196,114,-134,False,2.1399999999999997,0.4673,0.0523,0.1119,0.0491
PROP_0149,Player_149,0.5674,-165,140,False,1.606060606060606,0.6226,-0.0552,-0.0887,0.0
PROP_0150,Player_150,0.5581,103,-120,False,2.0300000000000002,0.4926,0.0655,0.1329,0.0645
PROP_0151,Player_151,0.5561,-144,122,True,1.6944444444444444,0.5902,-0.0341,-0.0577,0.0
PROP_0152,Player_152,0.5485,-123,105,False,1.8130081300813008,0.5516,-0.0031,-0.0056,0.0
PROP_0153,Player_153,0.5212,-116,-101,False,1.8620689655172413,0.537,-0.0158,-0.0295,0.0
PROP_0154,Player_154,0.5468,-113,-104,False,1.8849557522123894,0.5305,0.0163,0.0307,0.0173
PROP_0155,Player_155,0.5001,-121,103,True,1.8264462809917354,0.5475,-0.0474,-0.0866,0.0
PROP_0156,Player_156,0.5557,-137,116,False,1.72992700729927,0.5781,-0.0224,-0.0387,0.0
PROP_0157,Player_157,0.5359,-121,103,False,1.8264462809917354,0.5475,-0.0116,-0.0212,0.0
PROP_0158,Player_158,0.5638,-133,113,True,1.7518796992481203,0.5708,-0.007,-0.0123,0.0
PROP_0159,Player_159,0.5562,-152,129,False,1.6578947368421053,0.6032,-0.047,-0.0779,0.0
PROP_0160,Player_160,0.5761,-121,103,False,1.8264462809917354,0.5475,0.0286,0.0522,0.0316
PROP_0161,Player_161,0.5258,-120,102,False,1.8333333333333335,0.5455,-0.0197,-0.036,0.0
PROP_0162,Player_162,0.4906,119,-140,False,2.19,0.4566,0.034,0.0744,0.0313
PROP_0163,Player_163,0.483,-104,-113,False,1.9615384615384617,0.5098,-0.0268,-0.0526,0.0
PROP_0164,Player_164,0.492,-108,-109,False,1.925925925925926,0.5192,-0.0272,-0.0524,0.0
PROP_0165,Player_165,0.5174,-111,-106,False,1.900900900900901,0.5261,-0.0087,-0.0165,0.0
PROP_0166,Player_166,0.5256,-105,-112,True,1.9523809523809523,0.5122,0.0134,0.0262,0.0137
PROP_0167,Player_167,0.4949,-121,103,True,1.8264462809917354,0.5475,-0.0526,-0.0961,0.0
PROP_0168,Player_168,0.5515,-108,-109,False,1.925925925925926,0.5192,0.0323,0.0621,0.0336
PROP_0169,Player_169,0.5701,-232,193,False,1.4310344827586206,0.6988,-0.1287,-0.1842,0.0
PROP_0170,Player_170,0.5259,-146,124,False,1.6849315068493151,0.5935,-0.0676,-0.1139,0.0
PROP_0171,Player_171,0.5554,-130,111,False,1.7692307692307692,0.5652,-0.0098,-0.0174,0.0
PROP_0172,Player_172,0.5381,-146,124,False,1.6849315068493151,0.5935,-0.0554,-0.0933,0.0
PROP_0173,Player_173,0.4805,150,-178,False,2.5,0.4,0.0805,0.2012,0.0671
PROP_0174,Player_174,0.5355,-114,-103,False,1.8771929824561404,0.5327,0.0028,0.0052,0.003
PROP_0175,Player_175,0.5024,-114,-103,False,1.8771929824561404,0.5327,-0.0303,-0.0569,0.0
PROP_0176,Player_176,0.5636,-155,131,False,1.6451612903225805,0.6078,-0.0442,-0.0728,0.0
PROP_0177,Player_177,0.5684,-196,165,False,1.510204081632653,0.6622,-0.0938,-0.1416,0.0
PROP_0178,Player_178,0.5167,-102,-115,False,1.9803921568627452,0.505,0.0117,0.0233,0.0119
PROP_0179,Player_179,0.4993,-106,-111,False,1.9433962264150944,0.5146,-0.0153,-0.0297,0.0
PROP_0180,Player_180,0.5673,-156,132,False,1.641025641025641,0.6094,-0.0421,-0.069,0.0
PROP_0181,Player_181,0.5467,-122,104,False,1.819672131147541,0.5495,-0.0028,-0.0052,0.0
PROP_0182,Player_182,0.5649,-114,-103,False,1.8771929824561404,0.5327,0.0322,0.0604,0.0344
PROP_0183,Player_183,0.5091,-103,-114,False,1.970873786407767,0.5074,0.0017,0.0034,0.0017
PROP_0184,Player_184,0.5131,110,-130,True,2.1,0.4762,0.0369,0.0775,0.0352
PROP_0185,Player_185,0.4974,-114,-103,False,1.8771929824561404,0.5327,-0.0353,-0.0663,0.0
PROP_0186,Player_186,0.5707,-146,124,False,1.6849315068493151,0.5935,-0.0228,-0.0384,0.0
PROP_0187,Player_187,0.5537,-147,125,False,1.6802721088435373,0.5951,-0.0414,-0.0696,0.0
PROP_0188,Player_188,0.5699,-168,142,False,1.5952380952380953,0.6269,-0.057,-0.0909,0.0
PROP_0189,Player_189,0.547,-161,136,False,1.62111801242236,0.6169,-0.0699,-0.1132,0.0
PROP_0190,Player_190,0.5134,-113,-104,True,1.8849557522123894,0.5305,-0.0171,-0.0323,0.0
PROP_0191,Player_191,0.5252,110,-129,True,2.1,0.4762,0.049,0.1029,0.0468
PROP_0192,Player_192,0.5161,-150,127,False,1.6666666666666665,0.6,-0.0839,-0.1398,0.0
PROP_0193,Player_193,0.5563,-147,125,False,1.6802721088435373,0.5951,-0.0388,-0.0653,0.0
PROP_0194,Player_194,0.5584,-135,115,False,1.7407407407407407,0.5745,-0.0161,-0.028,0.0
PROP_0195,Player_195,0.4924,-132,112,False,1.7575757575757576,0.569,-0.0766,-0.1346,0.0
PROP_0196,Player_196,0.5142,-135,115,False,1.7407407407407407,0.5745,-0.0603,-0.1049,0.0
PROP_0197,Player_197,0.5298,103,-122,False,2.0300000000000002,0.4926,0.0372,0.0755,0.0366
PROP_0198,Player_198,0.5133,104,-123,False,2.04,0.4902,0.0231,0.0471,0.0227
PROP_0199,Player_199,0.4948,-136,116,False,1.7352941176470589,0.5763,-0.0815,-0.1414,0.0
PROP_0200,Player_200,0.5248,-123,105,False,1.8130081300813008,0.5516,-0.0268,-0.0485,0.0
PROP_0201,Player_201,0.5561,-105,-112,False,1.9523809523809523,0.5122,0.0439,0.0857,0.045
PROP_0202,Player_202,0.5302,-124,105,False,1.8064516129032258,0.5536,-0.0234,-0.0422,0.0
PROP_0203,Player_203,0.5265,-165,140,False,1.606060606060606,0.6226,-0.0961,-0.1544,0.0
PROP_0204,Player_204,0.5058,-135,115,False,1.7407407407407407,0.5745,-0.0687,-0.1195,0.0
PROP_0205,Player_205,0.5156,-101,-116,False,1.99009900990099,0.5025,0.0131,0.0261,0.0132
PROP_0206,Player_206,0.5476,-127,108,False,1.7874015748031495,0.5595,-0.0119,-0.0212,0.0
PROP_0207,Player_207,0.5642,-150,127,False,1.6666666666666665,0.6,-0.0358,-0.0597,0.0
PROP_0208,Player_208,0.5638,-142,121,True,1.704225352112676,0.5868,-0.023,-0.0392,0.0
PROP_0209,Player_209,0.5007,-115,-102,False,1.8695652173913042,0.5349,-0.0342,-0.0639,0.0
PROP_0210,Player_210,0.5642,-141,120,False,1.7092198581560285,0.5851,-0.0209,-0.0357,0.0
PROP_0211,Player_211,0.518,-126,107,False,1.7936507936507935,0.5575,-0.0395,-0.0709,0.0
PROP_0212,Player_212,0.4828,-107,-110,False,1.9345794392523366,0.5169,-0.0341,-0.066,0.0
PROP_0213,Player_213,0.5775,-187,157,False,1.53475935828877,0.6516,-0.0741,-0.1137,0.0
PROP_0214,Player_214,0.4862,115,-135,False,2.15,0.4651,0.0211,0.0453,0.0197
PROP_0215,Player_215,0.5583,-139,118,False,1.7194244604316546,0.5816,-0.0233,-0.04,0.0
PROP_0216,Player_216,0.5706,-148,126,False,1.6756756756756757,0.5968,-0.0262,-0.0439,0.0
PROP_0217,Player_217,0.5161,-122,104,False,1.819672131147541,0.5495,-0.0334,-0.0609,0.0
PROP_0218,Player_218,0.4862,107,-126,False,2.0700000000000003,0.4831,0.0031,0.0064,0.003
PROP_0219,Player_219,0.5228,-106,-110,False,1.9433962264150944,0.5146,0.0082,0.016,0.0085
PROP_0220,Player_220,0.5545,-154,130,True,1.6493506493506493,0.6063,-0.0518,-0.0854,0.0
PROP_0221,Player_221,0.5604,-141,120,False,1.7092198581560285,0.5851,-0.0247,-0.0422,0.0
PROP_0222,Player_222,0.5481,-109,-108,False,1.9174311926605505,0.5215,0.0266,0.0509,0.0278
PROP_0223,Player_223,0.5003,105,-123,False,2.05,0.4878,0.0125,0.0256,0.0122
PROP_0224,Player_224,0.5614,-145,123,False,1.6896551724137931,0.5918,-0.0304,-0.0514,0.0
PROP_0225,Player_225,0.5773,-154,130,False,1.6493506493506493,0.6063,-0.029,-0.0478,0.0
PROP_0226,Player_226,0.5616,-135,115,True,1.7407407407407407,0.5745,-0.0129,-0.0224,0.0
PROP_0227,Player_227,0.5782,-139,118,False,1.7194244604316546,0.5816,-0.0034,-0.0058,0.0
PROP_0228,Player_228,0.4964,100,-118,False,2.0,0.5,-0.0036,-0.0072,0.0
PROP_0229,Player_229,0.4883,118,-139,False,2.1799999999999997,0.4587,0.0296,0.0645,0.0273
PROP_0230,Player_230,0.5099,-131,111,False,1.7633587786259541,0.5671,-0.0572,-0.1009,0.0
PROP_0231,Player_231,0.4905,-126,107,False,1.7936507936507935,0.5575,-0.067,-0.1202,0.0
PROP_0232,Player_232,0.5642,-161,136,False,1.62111801242236,0.6169,-0.0527,-0.0854,0.0
PROP_0233,Player_233,0.488,120,-141,False,2.2,0.4545,0.0335,0.0736,0.0307
PROP_0234,Player_234,0.4913,-145,123,True,1.6896551724137931,0.5918,-0.1005,-0.1699,0.0
PROP_0235,Player_235,0.5298,113,-132,False,2.13,0.4695,0.0603,0.1285,0.0568
PROP_0236,Player_236,0.5165,101,-119,False,2.01,0.4975,0.019,0.0382,0.0189
PROP_0237,Player_237,0.5091,-118,101,False,1.847457627118644,0.5413,-0.0322,-0.0595,0.0
PROP_0238,Player_238,0.5576,-135,115,True,1.7407407407407407,0.5745,-0.0169,-0.0294,0.0
PROP_0239,Player_239,0.512,-141,120,False,1.7092198581560285,0.5851,-0.0731,-0.1249,0.0
PROP_0240,Player_240,0.5014,101,-118,False,2.01,0.4975,0.0039,0.0078,0.0039
PROP_0241,Player_241,0.5071,-144,122,False,1.6944444444444444,0.5902,-0.0831,-0.1407,0.0
PROP_0242,Player_242,0.5003,-117,-100,False,1.8547008547008548,0.5392,-0.0389,-0.0721,0.0
PROP_0243,Player_243,0.5411,-139,118,True,1.7194244604316546,0.5816,-0.0405,-0.0696,0.0
PROP_0244,Player_244,0.56,-121,103,False,1.8264462809917354,0.5475,0.0125,0.0228,0.0138
PROP_0245,Player_245,0.5361,-114,-103,False,1.8771929824561404,0.5327,0.0034,0.0064,0.0036
PROP_0246,Player_246,0.5585,-133,113,False,1.7518796992481203,0.5708,-0.0123,-0.0216,0.0
PROP_0247,Player_247,0.5185,-146,124,False,1.6849315068493151,0.5935,-0.075,-0.1264,0.0
PROP_0248,Player_248,0.5215,-124,105,False,1.8064516129032258,0.5536,-0.0321,-0.0579,0.0
PROP_0249,Player_249,0.5084,-106,-111,False,1.9433962264150944,0.5146,-0.0062,-0.012,0.0
PROP_0250,Player_250,0.5165,114,-134,False,2.1399999999999997,0.4673,0.0492,0.1053,0.0462
PROP_0251,Player_251,0.5017,-125,106,False,1.8,0.5556,-0.0539,-0.0969,0.0
PROP_0252,Player_252,0.5695,-138,118,False,1.7246376811594204,0.5798,-0.0103,-0.0178,0.0
PROP_0253,Player_253,0.5389,105,-123,False,2.05,0.4878,0.0511,0.1047,0.0499
PROP_0254,Player_254,0.5505,-123,104,False,1.8130081300813008,0.5516,-0.0011,-0.0019,0.0
PROP_0255,Player_255,0.5712,-128,109,False,1.78125,0.5614,0.0098,0.0174,0.0112
PROP_0256,Player_256,0.5648,-155,131,True,1.6451612903225805,0.6078,-0.043,-0.0708,0.0
PROP_0257,Player_257,0.522,116,-137,False,2.16,0.463,0.059,0.1275,0.055
PROP_0258,Player_258,0.4884,114,-134,False,2.1399999999999997,0.4673,0.0211,0.0452,0.0198
PROP_0259,Player_259,0.4892,104,-122,True,2.04,0.4902,-0.001,-0.002,0.0
PROP_0260,Player_260,0.5276,-115,-102,False,1.8695652173913042,0.5349,-0.0073,-0.0136,0.0
PROP_0261,Player_261,0.5207,-144,122,False,1.6944444444444444,0.5902,-0.0695,-0.1177,0.0
PROP_0262,Player_262,0.506,-147,124,False,1.6802721088435373,0.5951,-0.0891,-0.1498,0.0
